"Metric","Section","metric_key","TC-01","TC-02","TC-03","TC-04","TC-05","TC-06","TC-07","TC-08","TC-09","TC-10","TC-11","TC-12","TC-13","TC-14","TC-15","TC-16","WB_TC-01","WB_TC-02","WB_TC-03","WB_TC-04","WB_TC-05","WB_TC-06","WB_TC-07","WB_TC-08","WB_TC-09","WB_TC-10","WB_TC-11","WB_TC-12","WB_TC-13","WB_TC-14","WB_TC-15","WB_TC-16"
"Yard piping cost ($)","11. Buildings/Site","WBS_yard_piping_cost","2,495","6,094","19,225","2,495","6,094","6,094","0","0","2,495","7,084","22,402","5,009","2,495","7,084","7,084","15,841","","","","","","","","","","","","","","","",""
"Land cost ($)","11. Buildings/Site","WBS_land_cost","1,138","1,420","24,535","1,043","1,198","932","711","799","1,043","4,730","42,748","1,154","1,043","6,092","4,730","25,959","","","","","","","","","","","","","","","",""
"  Equipment cost ($)","12. Capital Roll-ups","CAP_equipment_cost","93,610","254,388","2,069,448","46,765","158,117","528,887","19,338","70,509","33,665","302,645","1,204,259","122,467","39,862","486,767","302,645","1,535,111","","","","","","","","","","","","","","","",""
"  Materials cost ($)","12. Capital Roll-ups","CAP_materials_cost","14,293","71,520","855,674","5,673","31,063","140,715","3,195","17,374","5,673","61,877","506,065","28,200","7,431","132,533","61,877","653,806","","","","","","","","","","","","","","","",""
"  Piping installation cost ($)","12. Capital Roll-ups","CAP_piping_install_cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Controls cost ($)","12. Capital Roll-ups","CAP_controls_cost","23,737","27,453","128,354","21,917","25,044","26,884","4,250","5,513","19,408","86,800","104,683","23,200","19,408","90,540","86,800","116,871","","","","","","","","","","","","","","","",""
"  Site work cost ($)","12. Capital Roll-ups","CAP_sitework_direct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Building cost ($)","12. Capital Roll-ups","CAP_building_cost","12,671","27,386","412,013","10,134","17,745","9,119","2,522","5,567","10,134","115,170","373,449","16,730","10,134","172,509","115,170","447,532","","","","","","","","","","","","","","","",""
">>> TOTAL DIRECT CAPITAL ($)","12. Capital Roll-ups","CAP_total_direct","149,029","390,941","3,600,472","88,446","239,277","709,259","30,984","101,553","72,837","606,179","2,309,750","197,601","80,793","940,274","606,179","2,897,865","","","","","","","","","","","","","","","",""
"  Indirect: Mobilization ($)","12. Capital Roll-ups","CAP_mobilization","0","0","144,019","0","0","0","0","0","0","24,247","92,390","0","0","37,611","24,247","115,915","","","","","","","","","","","","","","","",""
"  Indirect: Architectural fees ($)","12. Capital Roll-ups","CAP_architectural","0","0","32,961","0","0","0","0","0","0","10,365","29,876","0","0","15,526","10,365","35,803","","","","","","","","","","","","","","","",""
"  Indirect: Installation/transportation ($)","12. Capital Roll-ups","CAP_installation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"  Indirect: Site work ($)","12. Capital Roll-ups","CAP_sitework_indirect","3,646","8,051","123,201","2,886","5,165","2,583","608","1,519","2,886","34,332","111,655","4,861","2,886","51,498","34,332","133,835","","","","","","","","","","","","","","","",""
"  Indirect: Yard piping ($)","12. Capital Roll-ups","CAP_yard_piping_indirect","2,495","6,094","19,225","2,495","6,094","6,094","0","0","2,495","7,084","22,402","5,009","2,495","7,084","7,084","15,841","","","","","","","","","","","","","","","",""
"  Indirect: Geotechnical ($)","12. Capital Roll-ups","CAP_geotechnical","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"  Indirect: Standby power ($)","12. Capital Roll-ups","CAP_standby_power","0","0","8,000","0","0","0","0","0","0","2,500","25,000","0","0","2,500","2,500","8,000","","","","","","","","","","","","","","","",""
"  Indirect: Electrical ($)","12. Capital Roll-ups","CAP_electrical","13,636","36,356","318,846","7,831","22,153","70,014","2,846","9,599","6,270","49,101","193,630","18,087","7,066","76,776","49,101","245,033","","","","","","","","","","","","","","","",""
"  Indirect: Instrumentation & control ($)","12. Capital Roll-ups","CAP_instrumentation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"  Indirect: Contingency ($)","12. Capital Roll-ups","CAP_contingency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"  Indirect: Process engineering ($)","12. Capital Roll-ups","CAP_process_engineering","29,806","78,188","432,057","17,689","47,855","141,852","6,197","20,311","14,567","72,742","277,170","39,520","16,159","112,833","72,742","347,744","","","","","","","","","","","","","","","",""
"  Indirect: Misc allowance ($)","12. Capital Roll-ups","CAP_misc_allowance","14,903","39,094","360,047","8,845","23,928","70,926","3,098","10,155","7,284","60,618","230,975","19,760","8,079","94,027","60,618","289,787","","","","","","","","","","","","","","","",""
"  Indirect: Legal/fiscal ($)","12. Capital Roll-ups","CAP_legal_fiscal","2,981","7,819","72,009","1,769","4,786","14,185","620","2,031","1,457","12,124","46,195","3,952","1,616","18,805","12,124","57,957","","","","","","","","","","","","","","","",""
"  Indirect: Sales tax ($)","12. Capital Roll-ups","CAP_sales_tax","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"  Indirect: Financing ($)","12. Capital Roll-ups","CAP_financing","0","0","180,024","0","0","0","0","0","0","30,309","115,487","0","0","47,014","30,309","144,893","","","","","","","","","","","","","","","",""
"  Indirect: Construction management ($)","12. Capital Roll-ups","CAP_construction_mgmt","3,742","8,193","229,019","2,512","5,403","13,004","880","2,869","2,069","47,994","149,938","4,636","2,295","72,516","47,994","186,230","","","","","","","","","","","","","","","",""
">>> TOTAL INDIRECT ($)","12. Capital Roll-ups","CAP_total_indirect","71,208","183,795","1,919,407","44,027","115,383","318,657","14,249","46,483","37,028","351,415","1,294,719","95,825","40,595","536,191","351,415","1,581,037","","","","","","","","","","","","","","","",""
"  Add-on: Permits ($)","12. Capital Roll-ups","CAP_permits","3,236","3,481","6,842","3,171","3,250","3,048","2,914","2,948","3,171","4,456","6,514","3,225","3,171","4,966","4,456","7,136","","","","","","","","","","","","","","","",""
"  Add-on: Pilot study ($)","12. Capital Roll-ups","CAP_pilot","15,794","15,794","70,415","15,794","15,794","15,794","15,794","15,794","15,794","70,415","70,415","15,794","15,794","70,415","70,415","70,415","","","","","","","","","","","","","","","",""
"  Add-on: Land ($)","12. Capital Roll-ups","CAP_land_addon","1,138","1,420","24,535","1,043","1,198","932","711","799","1,043","4,730","42,748","1,154","1,043","6,092","4,730","25,959","","","","","","","","","","","","","","","",""
">>> TOTAL ADD-ON ($)","12. Capital Roll-ups","CAP_addon_total","20,167","20,694","101,792","20,008","20,241","19,774","19,419","19,540","20,008","79,601","119,677","20,172","20,008","81,473","79,601","103,511","","","","","","","","","","","","","","","",""
">>> GRAND TOTAL PROJECT COST ($)","12. Capital Roll-ups","CAP_total_project","240,404","595,431","5,621,670","152,481","374,902","1,047,690","64,651","167,576","129,873","1,037,195","3,724,146","313,598","141,396","1,557,938","1,037,195","4,582,413","","","","","","","","","","","","","","","",""
"O&M: Manager (hrs/yr)","13. O&M","OM_manager_hrs","11.3","12.8","69.8","10.8","11.7","21.0","3.8","4.2","5.4","27.8","60.8","6.1","5.3","34.4","27.8","69.6","","","","","","","","","","","","","","","",""
"O&M: Manager cost ($/yr)","13. O&M","OM_manager_cost","571","649","4,502","546","594","1,065","194","212","274","1,608","4,580","307","267","1,994","1,608","4,493","","","","","","","","","","","","","","","",""
"O&M: Clerical (hrs/yr)","13. O&M","OM_clerical_hrs","11.3","12.8","69.8","10.8","11.7","21.0","3.8","4.2","5.4","27.8","60.8","6.1","5.3","34.4","27.8","69.6","","","","","","","","","","","","","","","",""
"O&M: Clerical cost ($/yr)","13. O&M","OM_clerical_cost","371","421","2,964","355","386","692","126","138","178","913","2,584","199","173","1,132","913","2,958","","","","","","","","","","","","","","","",""
"O&M: Operator (hrs/yr)","13. O&M","OM_operator_hrs","112.7","128.1","697.7","107.9","117.2","210.2","38.2","41.9","54.0","277.5","608.3","60.6","52.7","344.1","277.5","696.3","","","","","","","","","","","","","","","",""
"O&M: Operator cost ($/yr)","13. O&M","OM_operator_cost","3,849","4,376","26,832","3,685","4,005","7,180","1,306","1,430","1,846","10,111","24,422","2,070","1,799","12,538","10,111","26,780","","","","","","","","","","","","","","","",""
"O&M: Total labor ($/yr)","13. O&M","OM_labor_total","4,790","5,446","34,298","4,587","4,985","8,937","1,625","1,780","2,298","12,632","31,586","2,576","2,239","15,664","12,632","34,232","","","","","","","","","","","","","","","",""
"O&M: Booster pump materials ($/yr)","13. O&M","OM_booster_pump_mtl","0","0","714","0","0","0","0","0","0","164","822","0","0","164","164","557","","","","","","","","","","","","","","","",""
"O&M: Backwash pump materials ($/yr)","13. O&M","OM_backwash_pump_mtl","0","0","656","0","0","0","0","0","0","226","656","0","0","382","226","619","","","","","","","","","","","","","","","",""
"O&M: Residuals pump materials ($/yr)","13. O&M","OM_residuals_pump_mtl","82","84","102","82","83","86","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"O&M: GAC contactor materials ($/yr)","13. O&M","OM_contactor_mtl","567","1,658","15,188","221","1,089","3,891","118","554","221","2,046","8,543","1,023","283","3,457","2,046","11,953","","","","","","","","","","","","","","","",""
"O&M: Building/HVAC maintenance ($/yr)","13. O&M","OM_building_maint","1,555","3,434","52,545","1,231","2,203","1,101","259","648","1,231","14,643","47,621","2,073","1,231","21,964","14,643","57,080","","","","","","","","","","","","","","","",""
"O&M: Makeup GAC (lbs/yr)","13. O&M","OM_makeup_gac_lbs","303","2,174","27,722","228","1,632","4,349","416","2,505","1,074","8,663","86,631","4,332","1,074","8,663","8,663","43,316","","","","","","","","","","","","","","","",""
"O&M: Makeup GAC cost ($/yr)","13. O&M","OM_makeup_gac_cost","636","4,514","49,833","478","3,399","8,918","871","5,191","2,244","17,339","145,313","8,884","2,244","17,339","17,339","72,657","","","","","","","","","","","","","","","",""
"O&M: Off-site regen GAC (lbs/yr)","13. O&M","OM_regen_lbs","707","5,074","64,684","531","3,809","10,147","970","5,845","2,507","20,214","202,139","10,107","2,507","20,214","20,214","101,070","","","","","","","","","","","","","","","",""
"O&M: Off-site regen cost ($/yr)","13. O&M","OM_regen_cost","1,396","9,451","75,918","1,051","7,215","17,674","1,907","10,776","4,830","30,820","237,244","17,613","4,830","30,820","30,820","118,622","","","","","","","","","","","","","","","",""
"O&M: Booster pump energy ($/yr)","13. O&M","OM_booster_energy","0","0","77,351","0","0","0","0","0","0","10,502","105,025","0","0","10,502","10,502","52,512","","","","","","","","","","","","","","","",""
"O&M: Backwash pump energy ($/yr)","13. O&M","OM_backwash_energy","0","0","1,237","0","0","0","0","0","0","167","1,624","0","0","447","167","2,175","","","","","","","","","","","","","","","",""
"O&M: Residuals pump energy ($/yr)","13. O&M","OM_residuals_energy","0","0","39","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"O&M: Lighting energy ($/yr)","13. O&M","OM_lighting","1","2","187","1","1","1","0","0","0","21","148","1","0","39","21","202","","","","","","","","","","","","","","","",""
"O&M: Ventilation energy ($/yr)","13. O&M","OM_ventilation","0","1","102","0","1","0","0","0","0","11","81","0","0","21","11","111","","","","","","","","","","","","","","","",""
"O&M: POTW discharge fee ($/yr)","13. O&M","OM_potw_fee","1,206","11,038","15,142","1,206","4,223","537","1,206","4,814","2,539","8,280","35,055","8,280","2,539","17,468","8,280","32,519","","","","","","","","","","","","","","","",""
"O&M: Misc allowance ($/yr)","13. O&M","OM_misc_allowance","1,023","3,563","32,331","886","2,320","4,115","599","2,376","1,336","9,685","61,372","4,045","1,337","11,827","9,685","38,324","","","","","","","","","","","","","","","",""
">>> TOTAL ANNUAL O&M ($/yr)","13. O&M","OM_total_annual","11,257","39,191","355,643","9,742","25,518","45,262","6,586","26,140","14,700","106,536","675,089","44,495","14,704","130,093","106,536","421,564","","","","","","","","","","","","","","","",""
